trip_id,arrival_time,departure_time,stop_id,stop_sequence
4,09:30:00,09:30:00,401,1
4,18:30:00,18:30:00,418,2
5A,08:30:00,08:30:00,501,1
5A,,,502,2
5A,,,503,3
5A,,,504,4
5A,,,505,5
5A,,,506,6
5A,,,507,7
5A,,,508,8
5A,,,509,9
5A,16:30:00,16:30:00,510,10
5B,08:30:00,08:30:00,501,1
5B,,,510,2
5B,,,509,3
5B,,,508,4
5B,,,507,5
5B,,,506,6
5B,,,505,7
5B,,,504,8
5B,,,503,9
5B,16:30:00,16:30:00,502,10
6,09:30:00,09:30:00,601,1
6,18:30:00,18:30:00,621,2
7,09:00:00,09:00:00,701,1
7,16:00:00,16:00:00,718,2
10A,06:20:00,06:20:00,1001,1
10A,,,1002,2
10A,,,1003,3
10A,,,1004,4
10A,,,1002,5
10A,,,1005,6
10A,19:20:00,19:20:00,1006,7
10B,06:20:00,06:20:00,1006,1
10B,,,1005,2
10B,,,1004,3
10B,,,1003,4
10B,,,1002,5
10B,19:20:00,19:20:00,1001,6
12A,11:00:00,11:00:00,1201,1
12A,,,1202,2
12A,,,1203,3
12A,,,1204,4
12A,15:00:00,15:00:00,1205,5
12B,11:07:00,11:07:00,1201,1
12B,,,1202,2
12B,,,1203,3
12B,,,1204,4
12B,15:07:00,15:07:00,1205,5
13,07:30:00,07:30:00,1301,1
13,,,1302,2
13,,,1303,3
13,,,1304,4
13,,,1305,5
13,,,1306,6
13,,,1307,7
13,,,1308,8
13,,,1309,9
13,,,1310,10
13,,,1311,11
13,,,1312,12
13,,,1313,13
13,,,1314,14
13,,,1315,15
13,,,1316,16
13,,,1317,17
13,18:00:00,18:00:00,1318,18
